"basic_unit_id","code","synonym","notes","region_id","continent_id","place","id","botanical_country_id"
"","481","","",5,1,"Baltic States",196,35
37,"480","","part of Ross Dependency",52,9,"Balleny Is.",195,15
172,"695","","excluding Manihiki Is.; self-governing Territory Overseas in Free Association with New Zealand",32,6,"Cook Is.",406,77
450,"2382","","",21,3,"Zufar",2089,252
191,"2408","","",2,1,"Slovakia",2108,90
513,"1106","","",27,4,"Kalaotoa",817,307
71,"1107","","",27,4,"Kalimantan",818,38
498,"1274","","",4,1,"Lipari Is.",985,295
241,"1104","","",34,6,"Kahoolawe",815,129
604,"2381","","",12,2,"Zimbabwe",2088,369
147,"2380","","",22,3,"Zhejiang",2087,63
403,"2383","","",13,2,"Zululand",2090,215
427,"1457","","part of Sakishima-gunto",24,3,"Miyako",1167,231
235,"2385","United Arab Emirates","",21,3,"Abu Zabi",2091,124
29,"2387","","part of Amirante group",15,2,"African Is.",2092,8
"","2389","","",21,3,"Arabian Peninsula",2093,""
408,"1102","","",19,3,"Kabardino-Balkariya",813,219
519,"1451","","",46,8,"Miskito Cays",1161,311
187,"1100","","",46,8,"Juventud, Isla de la",811,87
210,"1101","","",31,6,"Kabara",812,106
303,"1949","","",16,3,"Sergeya Kirova Ostrova",1656,159
505,"2007","","",10,2,"Somalia",1714,301
531,"902","Gruziya","[Caucasus]",19,3,"Georgia",613,319
221,"903","","[U.S.A.]",43,7,"Georgia",614,115
454,"900","","",20,3,"Gaza Strip",611,256
219,"901","","",48,8,"Genovesa I.",612,113
507,"906","","U.K. Crown Colony",3,1,"Gibraltar",617,302
228,"907","","",31,6,"Gilbert Is.",618,119
222,"904","","",2,1,"Germany",615,116
227,"905","","",8,2,"Ghana",616,118
37,"1843","","Antarctic Territory Overseas of New Zealand",52,9,"Ross Dependency",1550,15
"","420","","",50,8,"Argentina South",139,4
577,"908","","",25,4,"Gilgit",619,355
340,"909","","",15,2,"Glorieuses Is.",620,183
210,"1847","","",31,6,"Rotuma",1554,106
359,"1846","","",33,6,"Rota",1553,199
478,"1845","","",5,1,"Rostov",1552,278
438,"1844","","part of Louisiade Archipelago",27,4,"Rossel I.",1551,240
164,"2169","","",50,8,"Tierra del Fuego (Chile)",1876,70
17,"2168","","",50,8,"Tierra del Fuego (Argentina)",1875,4
"","2165","","see Tibet and see Qinghai",22,3,"Tibet-Qinghai",1872,64
148,"2164","Tibet","",22,3,"Tibet",1871,64
"","2167","Tierra del Fuego (Argentina) and Tierra del Fuego (Chile)","",50,8,"Tierra del Fuego",1874,""
128,"2166","Tianjin","",22,3,"Tientsin",1873,61
444,"2161","","",30,5,"Three Kings Is.",1868,246
