"areaID","synonym","name","stateID","notes","regionID","id","kew_regionID"
306,"","Banggai Is.",511,"",27,201,19
307,"","Bangka",512,"",27,202,19
268,"","Banks I.",468,"in Torres Strait",29,203,9
341,"","Banks Is.",561,"",31,204,20
175,"","Barat Daya Is.",332,"",27,205,19
171,"","Barbuda",316,"",46,206,7
366,"","Barotseland",601,"",12,207,6
13,"","Barren I.",34,"",26,208,12
275,"","Bashkiriya",475,"",5,209,2
328,"Marotiri","Bass Islets",544,"",32,210,25
182,"","Bassas da India",339,"",15,211,22
171,"","Basse Terre",320,"",46,212,7
172,"Lesotho","Basutoland",326,"",13,213,18
261,"","Batan Is.",460,"",27,214,31
235,"","Bathurst I.",432,"",29,215,9
147,"","Bawean",290,"",27,216,19
309,"","Becerro Cays",516,"",46,217,13
39,"Botswana","Bechuanaland Protectorate",74,"",13,218,6
80,"","Bechuanaland, British",178,"",13,219,18
60,"","Beijing",128,"",22,220,17
82,"","Belau Is.",182,"",33,221,28
238,"","Belep I.",435,"",31,222,32
365,"Zaire","Belgian Congo",600,"",9,223,15
31,"Belgium","Belgique",59,"",2,224,2
274,"","Belgorod",474,"",5,225,2
307,"","Belitung",512,"",27,226,19
299,"","Bellona",502,"",31,227,20
34,"","Belarus",63,"",5,228,2
226,"Bendel Province","Benin Province, Nigeria",421,"",8,229,14
354,"","Bequia",582,"part of Grenadines of St.Vincent",46,230,7
236,"","Beveridge Reef",433,"",31,231,5
99,"Bhutan and  Sikkim","Bhutan-Sikkim","","",25,232,12
239,"","Biak",436,"",27,233,26
136,"","Bihar",251,"",25,234,12
200,"","Bikini",360,"part of Ralik I. chain",33,235,28
26,"","Bimini Is.",54,"",46,236,7
69,"","Biobío",150,"",50,237,29
292,"","Bird I.",493,"[Indian Ocean]",15,238,22
171,"","Bird I.",318,"[West Indies]",46,239,7
346,"Islas Las Aves","Bird I.",566,"[off Venezuela]",46,240,16
262,"","Birnie I.",461,"",31,241,5
179,"","Bishop and Clerk Is.",336,"",51,242,10
32,"","Bismark Archipelago",61,"",27,243,26
308,"","Bjørnøya",514,"",1,244,2
346,"","Blanquilla Is.",566,"",46,245,16
261,"","Bohol",460,"",27,246,31
268,"","Boigu I.",468,"",29,247,9
116,"","Bombom I.",224,"",9,248,15
116,"Caroco Is.","Bone de Joquei",224,"",9,249,15
306,"","Bonerate Is.",511,"",27,250,19
286,"","Bora-Bora",486,"one of Iles sous le Vent",32,251,25
91,"","Bornholm",192,"",1,252,2
230,"Daito Is.","Borodino Is.",426,"",24,253,17
363,"Bosnia","Bosna",592,"",4,254,2
23,"","Bounty I.",50,"",30,255,10
40,"","Bouvet I.",75,"",51,256,10
331,"Bozcaada","Bozca",547,"",20,257,1
331,"","Bozcaada",547,"",20,258,1
48,"","Brazil North","","",49,259,21
46,"","Brazil Northeast","","",49,260,21
49,"","Brazil South","","",49,261,21
47,"","Brazil Southeast","","",49,262,21
45,"","Brazil West-Central","","",49,263,21
45,"","Brazilia Distrito Federal",80,"",49,264,21
239,"","Bristow I.",437,"",27,265,26
226,"","British Cameroons North",421,"",8,266,14
70,"","British Cameroons South",164,"",9,267,15
41,"","British Columbia",76,"",36,268,3
126,"Guyana","British Guiana",237,"",47,269,21
36,"Belize","British Honduras",68,"",45,270,13
"","Great Britain and Ireland","British Isles","","",1,271,2
300,"","British Somaliland",503,"",10,272,24
171,"","British Virgin Is.",319,"",46,273,7
38,"Brunei","Brunei Darussalem",70,"",27,274,19
274,"","Bryansk",474,"",5,275,2
3,"","Buenos Aires",3,"",50,276,29
299,"Santa Isabel","Bughotu",502,"",31,277,20
185,"","Bugio",342,"",7,278,11
299,"","Buka",501,"",31,279,20
38,"","Bunguran Is.",71,"",27,280,19
38,"","Bunguran Selatan Is.",71,"",27,281,19
33,"Burkina","Burkina Faso",62,"",8,282,14
193,"","Buru",351,"",27,283,19
42,"","Buryatiya",77,"",16,284,27
42,"Buryatiya","Buryatskaya A.S.S.R.",77,"",16,285,27
34,"","Byelorussiya",63,"",5,286,2
50,"","Cabinda",109,"",9,287,15
87,"Cape Verde","Cabo Verde, Ilhas do",187,"",7,288,14
116,"","Cabras Is.",225,"",9,289,15
27,"","Cabrera",55,"",3,290,2
261,"","Cagayan Is.",460,"",27,291,31
316,"","Caicos Is.",524,"",46,292,7
309,"","Cajones Cays",516,"",46,293,13
261,"","Calamian Is.",460,"",27,294,31
52,"","California",111,"",41,295,3
