id,hybrid,genus,author,synonym_id,family_id
"8854","","Chaetochlamys","Lindau","8942","1"
"8855","","Chaetothylax","Nees","8942","1"
"24970","","Chaetothylopsis","Oerst.","8942","1"
"8856","","Chalarothyrsus","Lindau","","1"
"8858","","Chamaeranthemum","Nees","","1"
"8859","","Championella","Bremek.","9075","1"
"24905","","Cheilopsis","Moq.","8804","1"
"8860","","Chileranthemum","Oerst.","","1"
"24971","","Chiloglossa","Oerst.","8942","1"
"8861","","Chingiacanthus","Hand.-Mazz.","8937","1"
"8862","","Chlamydacanthus","Lindau","","1"
"8863","","Chlamydocardia","Lindau","","1"
"14199","","Chlamydostachya","Mildbr.","","1"
"20520","","Chrestienia","Montrouz.","9020","1"
"8864","","Chroesthes","Benoist","","1"
"8865","","Clinacanthus","Nees","","1"
"8866","","Clistax","Mart.","","1"
"8867","","Codonacanthus","Nees","","1"
"8868","","Conocalyx","Benoist","","1"
"24420","","Copioglossa","Miers","9037","1"
"8869","","Corymbostachys","Lindau","8942","1"
"8870","","Cosmianthemum","Bremek.","","1"
"8871","","Crabbea","Harv.","","1"
"24924","","Croftia","Small","8848","1"
"8872","","Crossandra","Salisb.","","1"
"8873","","Crossandrella","C.B.Clarke","","1"
"20521","","Cryptophragmium","Nees","8918","1"
"8874","","Ctenopaepale","Bremek.","9075","1"
"8875","","Cyclacanthus","S.Moore","","1"
"8876","","Cylindrosolenium","Lindau","","1"
"8877","","Cyphacanthus","Leonard","","1"
"20534","","Cyphisia","Rizzini","8942","1"
"20983","","Cyrtanthera","Nees","8942","1"
"24972","","Cyrtantherella","Oerst.","8942","1"
"8878","","Cystacanthus","T.Anderson","","1"
"25196","","Dactylostegium","Nees","8883","1"
"20503","","Daedalacanthus","T.Anderson","8904","1"
"8879","","Danguya","Benoist","","1"
"8880","","Dasytropis","Urb.","","1"
"17374","","Delphinacanthus","Benoist","9022","1"
"17501","","Dianthera","L.","8942","1"
"25197","","Diateinacanthus","Lindau","8986","1"
"24907","","Dicentranthera","T.Anderson","8825","1"
"8881","","Dichazothece","Lindau","","1"
"8882","","Dicladanthera","F.Muell.","","1"
