"synonym_id","genus_id"
272,343
273,343
274,343
275,343
276,343
277,343
278,343
279,343
280,343
281,343
282,343
283,343
284,343
285,343
286,343
287,343
288,343
289,343
290,343
291,343
292,343
293,343
294,343
295,343
296,343
297,343
298,343
299,343
300,343
301,343
302,482
303,482
304,456
305,317
306,469
307,427
308,371
309,371
310,371
504,526
505,527
506,536
507,543
508,543
509,525
510,525
511,525
512,518
513,518
514,520
515,520
516,537
550,554
551,554
552,554
559,561
560,561
562,688
563,738
564,738
565,738
566,613
567,613
568,697
569,698
570,622
571,699
572,700
573,759
574,705
575,705
576,705
577,705
578,705
579,705
580,705
581,706
582,707
583,707
584,707
585,707
586,707
587,741
588,742
589,764
590,744
591,746
592,713
593,713
594,689
595,668
596,668
597,668
598,668
599,734
600,667
601,686
602,686
603,717
604,674
605,674
606,749
607,719
608,719
609,690
610,690
611,690
612,690
613,690
614,690
615,690
616,690
617,690
618,690
619,690
620,690
621,690
622,690
623,690
624,750
625,751
626,751
627,752
628,618
629,618
630,618
631,618
632,618
633,618
634,618
635,726
636,619
637,729
638,729
639,753
640,691
641,691
642,681
643,755
644,692
645,692
646,692
647,756
648,693
649,693
650,685
651,654
767,779
768,776
769,781
770,781
771,787
772,786
773,778
789,793
790,793
791,793
795,797
796,797
800,803
805,874
806,854
807,854
808,854
809,875
810,875
811,875
812,875
813,875
814,875
815,875
816,875
817,876
818,898
819,890
820,890
821,855
822,880
823,880
824,878
825,878
826,872
827,872
828,885
829,852
830,882
831,900
832,879
833,867
834,893
835,893
836,841
837,894
838,907
839,843
840,905
915,973
916,974
917,975
918,975
919,963
920,963
921,963
922,963
923,1006
924,988
925,988
926,995
927,989
928,976
929,977
930,977
931,977
932,1005
933,1005
934,978
935,1012
936,1012
937,1014
938,997
939,998
940,998
941,998
942,998
943,998
944,998
945,999
946,999
947,1001
948,969
949,969
950,1007
951,984
952,984
953,1019
954,987
955,987
956,987
957,987
958,1009
959,1009
960,1009
961,986
962,986
1023,1026
1033,1038
1034,1038
1035,1034
1036,1034
1037,1034
1039,1127
1040,1123
1041,1136
1042,1148
1043,1152
1044,1125
1045,1090
1046,1088
1047,1128
1048,1128
1049,1128
1050,1082
1051,1082
1052,1082
1053,1151
1054,1138
1055,1129
1056,1095
1057,1093
1058,1120
1059,1120
1060,1131
1061,1131
1062,1131
1063,1131
1064,1131
1065,1131
1066,1131
1067,1131
1068,1131
1069,1105
1070,1132
1071,1134
1072,1134
1073,1134
1074,1150
1075,1150
1076,1133
1077,1133
1078,1133
1079,1111
1080,1111
1081,1121
1157,1158
1159,1168
1160,1168
1161,1168
1162,1168
1163,1168
1164,1168
1165,1168
1166,1168
1167,1166
1169,1173
1174,1260
1175,1363
1176,1318
1177,1318
1178,1318
1179,1318
1180,1342
1181,1255
1182,1255
1183,1255
1184,1297
1185,1287
1186,1287
1187,1360
1188,1279
1189,1279
1190,1307
1191,1340
1192,1310
1193,1262
1194,1262
1195,1262
1196,1266
1197,1266
1198,1266
1199,1266
1200,1271
1201,1271
1202,1356
1203,1356
1204,1356
1205,1334
1206,1327
1207,1327
1208,1327
1209,1327
1210,1327
1211,1327
1212,1327
1213,1326
1214,1267
1215,1321
1216,1321
1217,1328
1218,1272
1219,1263
1220,1263
1221,1263
1222,1305
1223,1269
1224,1336
1225,1273
1226,1270
1227,1270
1228,1299
1229,1299
1230,1330
1231,1366
1232,1361
1233,1319
1234,1319
1235,1319
1236,1319
1237,1319
1238,1319
1239,1319
1240,1319
1241,1303
